"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Bishop's Falls (T), Newfoundland and Labrador","2016A00051006019","Persons","249","units","0","v1138979131","26","3029","","","","0"
"2021","Bishop's Falls (T), Newfoundland and Labrador","2016A00051006019","Persons","249","units","0","v1138979131","26","3036","","","","0"
"2020","Division No.  8, Subd. L (SNO), Newfoundland and Labrador","2016A00051008008","Persons","249","units","0","v1138979132","27","2997","","","","0"
"2021","Division No.  8, Subd. L (SNO), Newfoundland and Labrador","2016A00051008008","Persons","249","units","0","v1138979132","27","2952","","","","0"
"2020","Harbour Grace (T), Newfoundland and Labrador","2016A00051001379","Persons","249","units","0","v1138979133","28","2897","","","","0"
"2021","Harbour Grace (T), Newfoundland and Labrador","2016A00051001379","Persons","249","units","0","v1138979133","28","2927","","","","0"
"2020","Springdale (T), Newfoundland and Labrador","2016A00051008061","Persons","249","units","0","v1138979134","29","3089","","","","0"
"2021","Springdale (T), Newfoundland and Labrador","2016A00051008061","Persons","249","units","0","v1138979134","29","3013","","","","0"
"2020","Division No.  1, Subd. E (SNO), Newfoundland and Labrador","2016A00051001304","Persons","249","units","0","v1138979135","30","2843","","","","0"
"2021","Division No.  1, Subd. E (SNO), Newfoundland and Labrador","2016A00051001304","Persons","249","units","0","v1138979135","30","2780","","","","0"
"2020","Botwood (T), Newfoundland and Labrador","2016A00051006022","Persons","249","units","0","v1138979136","31","2757","","","","0"
"2021","Botwood (T), Newfoundland and Labrador","2016A00051006022","Persons","249","units","0","v1138979136","31","2742","","","","0"
"2020","Spaniard's Bay (T), Newfoundland and Labrador","2016A00051001396","Persons","249","units","0","v1138979137","32","2636","","","","0"
"2021","Spaniard's Bay (T), Newfoundland and Labrador","2016A00051001396","Persons","249","units","0","v1138979137","32","2596","","","","0"
"2020","Division No.  7, Subd. E (SNO), Newfoundland and Labrador","2016A00051007031","Persons","249","units","0","v1138979138","33","2541","","","","0"
"2021","Division No.  7, Subd. E (SNO), Newfoundland and Labrador","2016A00051007031","Persons","249","units","0","v1138979138","33","2485","","","","0"
"2020","Division No.  9, Subd. C (SNO), Newfoundland and Labrador","2016A00051009021","Persons","249","units","0","v1138979139","34","2380","","","","0"
"2021","Division No.  9, Subd. C (SNO), Newfoundland and Labrador","2016A00051009021","Persons","249","units","0","v1138979139","34","2345","","","","0"
"2020","Holyrood (T), Newfoundland and Labrador","2016A00051001472","Persons","249","units","0","v1138979140","35","2783","","","","0"
"2021","Holyrood (T), Newfoundland and Labrador","2016A00051001472","Persons","249","units","0","v1138979140","35","2867","","","","0"
"2020","Burin (T), Newfoundland and Labrador","2016A00051002005","Persons","249","units","0","v1138979141","36","2207","","","","0"
"2021","Burin (T), Newfoundland and Labrador","2016A00051002005","Persons","249","units","0","v1138979141","36","2180","","","","0"
"2020","Grand Bank (T), Newfoundland and Labrador","2016A00051002019","Persons","249","units","0","v1138979142","37","2221","","","","0"
"2021","Grand Bank (T), Newfoundland and Labrador","2016A00051002019","Persons","249","units","0","v1138979142","37","2124","","","","0"
"2020","St. Anthony (T), Newfoundland and Labrador","2016A00051009029","Persons","249","units","0","v1138979143","38","2128","","","","0"
"2021","St. Anthony (T), Newfoundland and Labrador","2016A00051009029","Persons","249","units","0","v1138979143","38","2127","","","","0"
"2020","Logy Bay-Middle Cove-Outer Cove (T), Newfoundland and Labrador","2016A00051001511","Persons","249","units","0","v1138979144","39","2280","","","","0"
"2021","Logy Bay-Middle Cove-Outer Cove (T), Newfoundland and Labrador","2016A00051001511","Persons","249","units","0","v1138979144","39","2310","","","","0"
"2020","Fogo Island (T), Newfoundland and Labrador","2016A00051008099","Persons","249","units","0","v1138979145","40","2195","","","","0"
"2021","Fogo Island (T), Newfoundland and Labrador","2016A00051008099","Persons","249","units","0","v1138979145","40","2155","","","","0"
"2020","Twillingate (T), Newfoundland and Labrador","2016A00051008035","Persons","249","units","0","v1138979146","41","2066","","","","0"
"2021","Twillingate (T), Newfoundland and Labrador","2016A00051008035","Persons","249","units","0","v1138979146","41","2059","","","","0"
"2020","New-Wes-Valley (T), Newfoundland and Labrador","2016A00051007060","Persons","249","units","0","v1138979147","42","2117","","","","0"
"2021","New-Wes-Valley (T), Newfoundland and Labrador","2016A00051007060","Persons","249","units","0","v1138979147","42","2087","","","","0"
"2020","Wabana (T), Newfoundland and Labrador","2016A00051001494","Persons","249","units","0","v1138979148","43","2171","","","","0"
"2021","Wabana (T), Newfoundland and Labrador","2016A00051001494","Persons","249","units","0","v1138979148","43","2170","","","","0"
"2020","Pouch Cove (T), Newfoundland and Labrador","2016A00051001505","Persons","249","units","0","v1138979149","44","2103","","","","0"
"2021","Pouch Cove (T), Newfoundland and Labrador","2016A00051001505","Persons","249","units","0","v1138979149","44","2149","","","","0"
"2020","Glovertown (T), Newfoundland and Labrador","2016A00051007044","Persons","249","units","0","v1138979150","45","2012","","","","0"
"2021","Glovertown (T), Newfoundland and Labrador","2016A00051007044","Persons","249","units","0","v1138979150","45","2017","","","","0"
"2020","Kippens (T), Newfoundland and Labrador","2016A00051004020","Persons","249","units","0","v1138979151","46","2028","","","","0"
"2021","Kippens (T), Newfoundland and Labrador","2016A00051004020","Persons","249","units","0","v1138979151","46","2072","","","","0"
"2020","Gambo (T), Newfoundland and Labrador","2016A00051007047","Persons","249","units","0","v1138979152","47","1884","","","","0"
"2021","Gambo (T), Newfoundland and Labrador","2016A00051007047","Persons","249","units","0","v1138979152","47","1860","","","","0"
"2020","Division No.  4, Subd. E (SNO), Newfoundland and Labrador","2016A00051004022","Persons","249","units","0","v1138979153","48","1893","","","","0"
"2021","Division No.  4, Subd. E (SNO), Newfoundland and Labrador","2016A00051004022","Persons","249","units","0","v1138979153","48","1891","","","","0"
"2020","Division No.  7, Subd. M (SNO), Newfoundland and Labrador","2016A00051007001","Persons","249","units","0","v1138979154","49","1910","","","","0"
"2021","Division No.  7, Subd. M (SNO), Newfoundland and Labrador","2016A00051007001","Persons","249","units","0","v1138979154","49","1886","","","","0"
"2020","Wabush (T), Newfoundland and Labrador","2016A00051010034","Persons","249","units","0","v1138979155","50","2020","","","","0"
"2021","Wabush (T), Newfoundland and Labrador","2016A00051010034","Persons","249","units","0","v1138979155","50","1982","","","","0"
"2020","Division No.  8, Subd. H (SNO), Newfoundland and Labrador","2016A00051008031","Persons","249","units","0","v1138979156","51","1809","","","","0"
"2021","Division No.  8, Subd. H (SNO), Newfoundland and Labrador","2016A00051008031","Persons","249","units","0","v1138979156","51","1788","","","","0"
"2020","Division No.  1, Subd. G (SNO), Newfoundland and Labrador","2016A00051001339","Persons","249","units","0","v1138979157","52","1729","","","","0"
"2021","Division No.  1, Subd. G (SNO), Newfoundland and Labrador","2016A00051001339","Persons","249","units","0","v1138979157","52","1709","","","","0"
"2020","Trinity Bay North (T), Newfoundland and Labrador","2016A00051007022","Persons","249","units","0","v1138979158","53","1670","","","","0"
"2021","Trinity Bay North (T), Newfoundland and Labrador","2016A00051007022","Persons","249","units","0","v1138979158","53","1624","","","","0"
"2020","Victoria (T), Newfoundland and Labrador","2016A00051001365","Persons","249","units","0","v1138979159","54","1784","","","","0"
"2021","Victoria (T), Newfoundland and Labrador","2016A00051001365","Persons","249","units","0","v1138979159","54","1739","","","","0"
"2020","Division No.  4, Subd. A (SNO), Newfoundland and Labrador","2016A00051004001","Persons","249","units","0","v1138979160","55","1645","","","","0"
"2021","Division No.  4, Subd. A (SNO), Newfoundland and Labrador","2016A00051004001","Persons","249","units","0","v1138979160","55","1586","","","","0"
"2020","Stephenville Crossing (T), Newfoundland and Labrador","2016A00051004018","Persons","249","units","0","v1138979161","56","1610","","","","0"
"2021","Stephenville Crossing (T), Newfoundland and Labrador","2016A00051004018","Persons","249","units","0","v1138979161","56","1624","","","","0"
"2020","Flatrock (T), Newfoundland and Labrador","2016A00051001507","Persons","249","units","0","v1138979162","57","1760","","","","0"
"2021","Flatrock (T), Newfoundland and Labrador","2016A00051001507","Persons","249","units","0","v1138979162","57","1811","","","","0"
"2020","Massey Drive (T), Newfoundland and Labrador","2016A00051005017","Persons","249","units","0","v1138979163","58","1789","","","","0"
"2021","Massey Drive (T), Newfoundland and Labrador","2016A00051005017","Persons","249","units","0","v1138979163","58","1812","","","","0"
"2020","Harbour Breton (T), Newfoundland and Labrador","2016A00051003008","Persons","249","units","0","v1138979164","59","1509","","","","0"
"2021","Harbour Breton (T), Newfoundland and Labrador","2016A00051003008","Persons","249","units","0","v1138979164","59","1468","","","","0"
"2020","Witless Bay (T), Newfoundland and Labrador","2016A00051001559","Persons","249","units","0","v1138979165","60","1674","","","","0"
"2021","Witless Bay (T), Newfoundland and Labrador","2016A00051001559","Persons","249","units","0","v1138979165","60","1706","","","","0"
"2020","Division No.  1, Subd. U (SNO), Newfoundland and Labrador","2016A00051001124","Persons","249","units","0","v1138979166","61","1670","","","","0"
"2021","Division No.  1, Subd. U (SNO), Newfoundland and Labrador","2016A00051001124","Persons","249","units","0","v1138979166","61","1647","","","","0"
"2020","Humber Arm South (T), Newfoundland and Labrador","2016A00051005020","Persons","249","units","0","v1138979167","62","1598","","","","0"
"2021","Humber Arm South (T), Newfoundland and Labrador","2016A00051005020","Persons","249","units","0","v1138979167","62","1609","","","","0"
"2020","Clarke's Beach (T), Newfoundland and Labrador","2016A00051001429","Persons","249","units","0","v1138979168","63","1498","","","","0"
"2021","Clarke's Beach (T), Newfoundland and Labrador","2016A00051001429","Persons","249","units","0","v1138979168","63","1523","","","","0"
"2020","Upper Island Cove (T), Newfoundland and Labrador","2016A00051001385","Persons","249","units","0","v1138979169","64","1554","","","","0"
"2021","Upper Island Cove (T), Newfoundland and Labrador","2016A00051001385","Persons","249","units","0","v1138979169","64","1517","","","","0"
"2020","Bay Bulls (T), Newfoundland and Labrador","2016A00051001557","Persons","249","units","0","v1138979170","65","1534","","","","0"
"2021","Bay Bulls (T), Newfoundland and Labrador","2016A00051001557","Persons","249","units","0","v1138979170","65","1585","","","","0"
"2020","Sheshatshiu 3 (IRI), Newfoundland and Labrador","2016A00051010802","Persons","249","units","0","v1138979171","66","1513","","","","0"
"2021","Sheshatshiu 3 (IRI), Newfoundland and Labrador","2016A00051010802","Persons","249","units","0","v1138979171","66","1521","","","","0"
"2020","Irishtown-Summerside (T), Newfoundland and Labrador","2016A00051005030","Persons","249","units","0","v1138979172","67","1577","","","","0"
"2021","Irishtown-Summerside (T), Newfoundland and Labrador","2016A00051005030","Persons","249","units","0","v1138979172","67","1555","","","","0"
"2020","Fortune (T), Newfoundland and Labrador","2016A00051002018","Persons","249","units","0","v1138979173","68","1274","","","","0"
"2021","Fortune (T), Newfoundland and Labrador","2016A00051002018","Persons","249","units","0","v1138979173","68","1254","","","","0"
